Draw,Date,Winning Number 1,2,3,4,5,6,Additional Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize
4146,2026-01-08,3,14,15,17,25,27,31,,4,2,5,1,1,3,2,0,0,1,2923900.00,8,45197.00,166,1498.00,471,288.00,8693,50.00,11383,25.00,153853,10.00
4145,2026-01-05,5,20,35,39,40,49,27,"20,39",2,4,4,2,1,1,0,3,1,0,0.00,1,253986.00,66,2646.00,173,551.00,4567,50.00,5737,25.00,86036,10.00
4144,2026-01-02,11,18,20,32,38,39,34,,3,3,2,4,0,3,0,3,0,3,2653368.00,17,98578.00,717,1337.00,1471,356.00,30529,50.00,39692,25.00,545195,10.00
4143,2025-12-29,2,4,22,24,30,33,49,,4,2,1,5,2,0,3,1,0,0,0.00,0,0.00,138,1403.00,202,523.00,6934,50.00,6472,25.00,115097,10.00
4142,2025-12-25,3,8,15,28,37,43,49,,3,3,4,2,2,1,1,1,1,1,5573082.00,7,79770.00,264,1455.00,554,378.00,13045,50.00,15282,25.00,236888,10.00
4141,2025-12-22,4,5,13,22,24,30,36,30,5,1,2,4,2,1,3,0,0,0,0.00,1,358749.00,201,1228.00,320,421.00,9193,50.00,9437,25.00,161082,10.00
4140,2025-12-18,2,14,15,30,31,43,27,,3,3,3,3,1,2,1,1,1,0,0.00,2,128074.00,65,2710.00,209,460.00,4577,50.00,6628,25.00,89975,10.00
4139,2025-12-15,17,21,22,35,37,42,9,,3,3,4,2,0,1,2,2,1,1,1231419.00,3,86416.00,89,2003.00,213,457.00,5169,50.00,6908,25.00,93721,10.00
4138,2025-12-11,6,11,20,28,33,43,16,,3,3,3,3,1,2,1,1,1,1,2933089.00,4,88211.00,133,1824.00,490,271.00,8457,50.00,11754,25.00,150556,10.00
4137,2025-12-08,9,12,15,23,27,47,45,,4,2,5,1,1,2,2,0,1,0,0.00,3,88217.00,138,1319.00,262,379.00,7717,50.00,7183,25.00,131194,10.00
4136,2025-12-04,1,5,24,36,41,46,39,24,3,3,3,3,2,0,1,1,2,1,2911458.00,2,175916.00,121,2000.00,265,498.00,6631,50.00,7747,25.00,123859,10.00
4135,2025-12-01,2,10,24,35,45,49,37,,3,3,3,3,2,0,1,1,2,0,0.00,1,261108.00,84,2138.00,221,444.00,5030,50.00,6161,25.00,92173,10.00
4134,2025-11-27,6,8,17,28,32,46,16,8,3,3,1,5,2,1,1,1,1,1,2867460.00,2,171078.00,142,1657.00,365,352.00,7934,50.00,11449,25.00,146499,10.00
4133,2025-11-24,8,25,27,34,45,47,19,47,1,5,4,2,1,0,2,1,2,0,0.00,2,130761.00,76,2366.00,267,368.00,4681,50.00,7403,25.00,89557,10.00
4132,2025-11-20,11,13,22,31,47,49,39,,3,3,5,1,0,2,1,1,2,2,1496662.00,2,181882.00,124,2017.00,316,432.00,7851,50.00,9182,25.00,141063,10.00
4131,2025-11-17,3,9,12,18,19,34,24,"18,34",5,1,3,3,2,3,0,1,0,0,0.00,4,66603.00,170,1078.00,495,202.00,9291,50.00,10474,25.00,143566,10.00
4130,2025-11-13,6,13,18,22,34,35,40,,4,2,2,4,1,2,1,2,0,1,3039287.00,4,92324.00,143,1776.00,356,389.00,8250,50.00,9816,25.00,152602,10.00
4129,2025-11-10,2,11,12,19,25,36,16,,4,2,3,3,1,3,1,1,0,0,0.00,4,67639.00,159,1170.00,421,241.00,8778,50.00,10776,25.00,140314,10.00
4128,2025-11-06,3,20,24,29,32,44,46,,3,3,2,4,1,1,2,1,1,1,12286496.00,11,123444.00,595,1569.00,1224,417.00,28822,50.00,33956,25.00,516449,10.00
4127,2025-11-03,10,19,22,34,39,43,35,34,3,3,3,3,1,1,1,2,1,0,0.00,9,67235.00,269,1547.00,718,317.00,13781,50.00,17405,25.00,232947,10.00
4126,2025-10-30,1,5,31,34,38,45,21,38,2,4,4,2,2,0,0,3,1,0,0.00,1,360231.00,126,1966.00,289,468.00,6630,50.00,9228,25.00,133250,10.00
4125,2025-10-27,4,12,14,24,36,38,17,"14,38",4,2,0,6,1,2,1,2,0,0,0.00,2,131706.00,102,1776.00,205,482.00,5325,50.00,7342,25.00,99766,10.00
4124,2025-10-23,7,14,17,18,31,38,46,,4,2,3,3,1,3,0,2,0,3,4142563.00,10,139191.00,611,1567.00,1525,343.00,32674,50.00,37588,25.00,577951,10.00
